N,v,beta,T,i0,eps,J_v,J_beta,time_v,time_beta
150,0.99,16,5,1,0.001,"-19.85230695564333","0.010975554932457499",8.202582,7.823141
150,0.99,16,10,1,0.001,"-19.852547713866908","0.010975622738218505",9.048998,9.132123
150,0.99,16,15,1,0.001,"-19.852547713902325","0.01097562273799646",10.749652,11.197986
150,0.99,16,20,1,0.001,"-19.852547713902325","0.01097562273799646",12.626438,12.874196
200,0.01,1,5,1,0.001,"-12.54417721019463","12.153029587250508",18.071177,17.241002
200,0.01,1,10,1,0.001,"-26.346431228363","24.71793306978043",24.314401,23.972290
200,0.01,1,15,1,0.001,"-30.36197297475951","28.112334875742828",29.395668,36.743697
200,0.01,1,20,1,0.001,"-30.95602190604474","28.58439450649808",55.663089,47.745723
200,0.01,2,5,1,0.001,"-126.86339996859175","56.24269271524085",53.435193,58.414879
200,0.01,2,10,1,0.001,"-245.65316629679756","84.80556193715216",34.134515,43.059897
200,0.01,2,15,1,0.001,"-240.22964569201122","77.62140037895904",29.751868,29.671390
200,0.01,2,20,1,0.001,"-238.74121116617175","76.5560772020919",33.287159,58.757233
200,0.01,4,5,1,0.001,"-222.11796574778475","23.223053018739392",27.216659,29.357654
