beta_conf,v_conf,N,i0,T,v,beta,beta_grad,beta_grad_se,v_grad,v_grad_se,total_size_mean,total_size_se,N_samples
10,10,1000,1,10,0.8,2.2,5.182114959111447,0.8869610443133392,-21.4785,3.0308901800136754,4.2038,0.25447428607273315,10000
10,10,1000,1,10,0.85,2.2,1.6812418807499985,0.3738019662054343,-12.2877,2.731423584937173,2.5301,0.14001110566655417,10000
10,10,1000,1,10,0.9,2.2,0.5546757631117762,0.13288890027486436,-5.5944,1.3975505513641937,1.7012,0.07427303349366063,10000
10,10,1000,1,10,0.95,2.2,0.1697662915718088,0.043019355496864156,-2.997,0.6620166657317402,1.2253,0.023635774918237783,10000
10,10,1000,1,10,0.99,2.2,0.023586177323026657,0.004472628801596253,-3.0969,0.555384620102704,1.0336,0.0036233157248139673,10000
10,10,1000,1,10,0.01,2.3,325.29717747720133,19.983842556688074,-1060.8381,151.65277802980484,404.6606,4.424969576882945,10000
10,10,1000,1,10,0.05,2.3,301.3523348739016,18.71236347836903,-843.156,56.83783350742868,364.5293,4.200436170274828,10000
10,10,1000,1,10,0.1,2.3,278.9042835584429,17.334276115672495,-785.0142,35.36258413147265,315.8595,3.926728276246085,10000
10,10,1000,1,10,0.15,2.3,241.32659747020202,15.461072481467525,-989.9091,125.11090133096677,271.8632,3.632064999169456,10000
10,10,1000,1,10,0.2,2.3,219.0692982549764,13.799737197372826,-829.2699,69.09846796936218,231.8005,3.349954099569414,10000
10,10,1000,1,10,0.25,2.3,188.6153801438018,12.53038469763483,-735.4638,73.63574898771556,192.8621,3.027940896214141,10000
10,10,1000,1,10,0.3,2.3,165.51835441438823,11.15868879263569,-606.4929,39.825807357643455,156.8016,2.7154179555293734,10000
10,10,1000,1,10,0.35,2.3,135.13219736225528,9.093936506445267,-614.0853,67.1577429430599,123.9021,2.3558087093451587,10000
10,10,1000,1,10,0.4,2.3,100.73794247635915,7.403938270726872,-450.6489,34.48012001502465,96.9091,2.0591255191244056,10000
10,10,1000,1,10,0.45,2.3,77.44403479153259,6.7065265067985536,-394.1055,30.901294580610223,77.4054,1.8115565513662222,10000
10,10,1000,1,10,0.5,2.3,65.06592068782014,5.28630010683882,-370.1295,54.052969471471634,55.6528,1.4876613656507605,10000
10,10,1000,1,10,0.55,2.3,46.10367474876342,4.347881050296957,-326.1735,71.57277662697727,39.5151,1.21028104802997,10000
