beta,v,N,size,dv,db
3.4000000000000004,0.2,1000,673.5453568446565,-1328.5940952854519,114.50879981873675
3.5,0.2,1000,684.4624540424606,-1310.6371346598219,104.01350105297568
3.6,0.2,1000,694.3822344716216,-1293.425410565203,94.54391499459678
3.7,0.2,1000,703.4018955389959,-1276.9766805728896,85.99444565387002
3.8,0.2,1000,711.6086247655086,-1261.2949060032643,78.27034211502742
3.9,0.2,1000,719.0806386854866,-1246.3738513881528,71.28678010898368
4.0,0.2,1000,725.8881289984258,-1232.1998328137693,64.96793431314748
2.0,0.25,1000,254.7520591691858,-1475.6889997640435,426.00734532692775
2.1,0.25,1000,295.9897837595776,-1509.8716016420974,398.2923416533314
2.2,0.25,1000,334.35854937815253,-1528.1578957122179,368.9817601845504
2.3,0.25,1000,369.789015063199,-1534.9058919462034,339.7349582158492
2.4,0.25,1000,402.340242020651,-1533.301841647493,311.5150580062369
2.5,0.25,1000,432.1441542277472,-1525.6927894432997,284.85017514189104
2.6,0.25,1000,459.3708562194363,-1513.8181887036155,259.9972251185723
2.7,0.25,1000,484.2070839751653,-1498.9733106447084,237.04551815124748
2.8,0.25,1000,506.8429856535215,-1482.1258914445148,215.98265461780892
2.9,0.25,1000,527.4642089917035,-1464.0002918291234,196.73655513108247
3.0,0.25,1000,546.247373193304,-1445.1388102169644,179.20224482313978
3.1,0.25,1000,563.3576931051113,-1425.946748903653,163.25882857181568
3.2,0.25,1000,578.9479608934023,-1406.7258069467794,148.78012322396322
3.3,0.25,1000,593.1583705153054,-1387.6990059185164,135.64117694653999
3.4000000000000004,0.25,1000,606.1168511616121,-1369.0294200399328,123.72212172598164
3.5,0.25,1000,617.939693482797,-1350.8343359595372,112.91030242481598
3.6,0.25,1000,628.7323293303313,-1333.1960157557053,103.10130069067988
3.7,0.25,1000,638.5901762296651,-1316.169917856049,94.19926004388427
3.8,0.25,1000,647.5994909941492,-1299.7910033053897,86.11677933812976
3.9,0.25,1000,655.8381987021603,-1284.0785914175678,78.77454996436289
4.0,0.25,1000,663.3766775467341,-1269.040110392687,72.10085131194899
2.0,0.3,1000,182.79269742288105,-1394.6663573801427,396.7368763716094
2.1,0.3,1000,221.67390218252487,-1456.288022659586,379.87033984723104
2.2,0.3,1000,258.61871772167177,-1496.218329632258,358.5155059185978
2.3,0.3,1000,293.3096096462435,-1520.086118132939,335.1089882812235
2.4,0.3,1000,325.6233700577637,-1532.0411571204083,311.16893330271756
2.5,0.3,1000,355.55699296722634,-1535.1686178030939,287.6244157979757
2.6,0.3,1000,383.18002382795675,-1531.7787687831806,265.0250439693345
2.7,0.3,1000,408.6038431757605,-1523.6121226529074,243.6757935856572
2.8,0.3,1000,431.9618899618983,-1511.9864510220264,223.72450919768576
2.9,0.3,1000,453.39700753901485,-1497.9032932325836,205.2190681806226
3.0,0.3,1000,473.05345327662246,-1482.125891444513,188.1448902448465
3.1,0.3,1000,491.0719716531612,-1465.2367403630767,172.44959567773975
3.2,0.3,1000,507.58688068986635,-1447.6804408304674,158.05919621608152
3.3,0.3,1000,522.7244777759905,-1429.7958560066984,144.8886731602116
3.4000000000000004,0.3,1000,536.6023038860473,-1411.8404109326311,132.84881875493957
3.5,0.3,1000,549.3289588710205,-1394.0085738425269,121.85058366249955
3.6,0.3,1000,561.0042626495119,-1376.445995462525,111.80775949284875
3.7,0.3,1000,571.7196254391802,-1359.260384723754,102.63855239660748
