total_size_mean,total_size_sd,v_mean,v_sd,beta_mean,beta_sd,fd_v_mean,fd_v_sd,fd_beta_mean,fd_beta_sd,beta,v,N_samples,N,T,i0
1.3054,0.7895130397909841,-3.4965,87.59651535706355,0.17051841486438343,0.7950688060645648,-4.18,39.22603049184068,0.15,2.4037632595122127,2.3,0.9,10000,1000,10,1
1.1297,0.4274083644478662,-3.996,73.30603495945029,0.06312673563323679,0.3189674961796188,-2.94,26.89663069743658,0.08,1.467588287476482,2.3,0.95,10000,1000,10,1
1.0222,0.1578200240780618,-2.5974,50.87548471252606,0.01032406408762931,0.08800022968994281,-2.14,20.771700612964633,0.008,0.39993998949782456,2.3,0.99,10000,1000,10,1
521.1984,455.9959794092926,-1647.351,22095.95869161257,444.5701636147136,2070.05933177505,-1403.36,7346.598802289137,375.572,1662.1597126350498,2.4,0.01,10000,1000,10,1
464.4013,426.43757463233703,-1322.676,13640.241771383022,442.102209085954,1867.05604541013,-1403.2,6819.059738524937,360.202,1376.8589373096015,2.4,0.05,10000,1000,10,1
392.7378,384.74202818402875,-1430.8677,11556.975004797876,430.06795626770065,1609.0075480399796,-1426.76,6014.482297100077,388.168,1336.092735612246,2.4,0.1,10000,1000,10,1
322.0991,339.40781558353956,-1390.3083,10881.60656054909,398.6573717206633,1359.425852994597,-1408.0,5405.700154412557,356.718,980.1695270238564,2.4,0.15,10000,1000,10,1
253.9307,289.96080717488354,-1351.4472,11963.385722712746,347.81903656934713,1130.1860064021425,-1300.98,4739.061184421548,354.492,881.1741875082776,2.4,0.2,10000,1000,10,1
191.112,238.7097707593889,-1140.5583,7076.830208305186,282.26629080041346,900.3300093893465,-1114.68,3495.98608256225,317.896,735.8462068584812,2.4,0.25,10000,1000,10,1
137.1328,188.84259785376815,-979.6194,5368.610720442524,216.98523795019966,698.0123408491207,-1005.24,2958.66725293524,251.186,543.0152852029088,2.4,0.3,10000,1000,10,1
93.1331,142.1834335792676,-686.8125,3565.0889725898846,156.10061294249144,520.1265012777711,-712.7,1930.016374625001,188.176,436.80246412224636,2.4,0.35,10000,1000,10,1
60.2532,102.03050372197524,-516.7827,3477.9138310116746,104.15962625487624,364.251655263367,-534.18,1825.9345911924477,138.278,362.3550259517359,2.4,0.4,10000,1000,10,1
36.8387,69.42074677148035,-381.618,2889.565429664681,64.17824779894308,241.1985559899516,-387.82,1497.0263045035774,82.166,234.43661082785184,2.4,0.45,10000,1000,10,1
21.8148,44.97189679077368,-238.5612,2037.4679132698807,37.498821250824705,153.07678153449547,-223.36,960.4179041724834,48.538,154.59628895046518,2.4,0.5,10000,1000,10,1
12.8902,28.094663976634425,-131.7681,1501.0712721982297,20.713391212252883,91.30081211511828,-124.9,601.5913739558786,25.796,108.79517463105752,2.4,0.55,10000,1000,10,1
7.7775,16.958590559064746,-81.2187,1066.7357039006934,10.91718859724862,53.294875833752165,-70.7,434.01422423082346,13.116,62.794624455330954,2.4,0.6,10000,1000,10,1
4.8844,9.904394814424554,-34.8651,409.8321492282469,5.362841621795527,27.979090429193263,-41.04,307.13702433143993,6.66,43.25079725445896,2.4,0.65,10000,1000,10,1
3.3367,5.910916435714515,-26.4735,529.777030521291,2.734099530334282,15.799357138946153,-22.94,211.60868182431065,3.376,24.48392473148506,2.4,0.7,10000,1000,10,1
2.4737,3.5487896965021752,-12.3876,194.8691431821274,1.3790601970194043,7.092763860416154,-13.28,112.36059847833243,1.354,11.305727130379305,2.4,0.75,10000,1000,10,1
1.9226,2.1357924150066645,-9.3906,175.6500296752964,0.6882253535144398,3.3539963076500467,-9.32,84.58045273760676,0.732,8.041805957886973,2.4,0.8,10000,1000,10,1
