total_size_mean,total_size_sd,v_mean,v_sd,beta_mean,beta_sd,fd_v_mean,fd_v_sd,fd_beta_mean,fd_beta_sd,beta,v,N_samples,N,T,i0
1.5683,1.34778897087044,-5.6943,115.07524702888051,0.35838738726607594,1.6789364208708288,-5.34,50.2766066249242,0.326,3.859431761458173,2.4,0.85,10000,1000,10,1
1.3234,0.8243860988638758,-2.4975,59.051796799255165,0.17375171931114355,0.790698697627902,-4.32,41.24933636769297,0.136,2.015418118162855,2.4,0.9,10000,1000,10,1
1.1363,0.4426311218158976,-4.4955,71.20465286769537,0.06409901708494524,0.32580043163554295,-3.06,26.883241450150436,0.096,1.4666284805328138,2.4,0.95,10000,1000,10,1
1.0231,0.1605191265862109,-3.3966,58.155005880069254,0.010211583230543999,0.08477322063481825,-2.22,21.14512500864355,0.008,0.3999399894978245,2.4,0.99,10000,1000,10,1
555.489,464.96294742592124,-1221.3774,13659.59061328492,393.34674610791996,2052.188713214029,-1281.52,7570.623615250753,305.654,1584.1658216294916,2.5,0.01,10000,1000,10,1
500.8906,437.95721232974347,-1178.2206,11376.403207188503,406.74405205390207,1873.3631219407716,-1466.78,8084.568043850306,354.16,1618.1377850446293,2.5,0.05,10000,1000,10,1
430.5359,400.48651177185735,-1352.7459,13345.210154229091,403.6854109727391,1634.4964838117144,-1333.84,5435.465139482383,327.982,1221.0612706734555,2.5,0.1,10000,1000,10,1
357.7021,358.2609486890666,-1412.3862,13189.024836577706,387.7787956930332,1398.1990587861055,-1425.88,6042.544948988469,362.828,1186.507674843381,2.5,0.15,10000,1000,10,1
288.3636,311.6946040518508,-1589.3091,15772.589134963202,352.77380216076085,1169.2701057570364,-1352.5,4952.8109981785465,352.82,994.6599933898241,2.5,0.2,10000,1000,10,1
222.4321,261.9205333485521,-1206.3924,9949.59974430778,299.9845550376522,952.0556230651081,-1216.0,4200.763340306631,309.328,783.9253805791924,2.5,0.25,10000,1000,10,1
162.8501,210.9018914803516,-1075.2237,6942.763098579888,236.2939219657774,744.3873464291337,-1069.44,3054.487694509112,268.426,654.9690229057376,2.5,0.3,10000,1000,10,1
112.4591,161.96013622861028,-890.4087,6670.189342143917,174.55116284436505,568.3777261375225,-860.6,2590.1394793045847,210.946,520.4767378927407,2.5,0.35,10000,1000,10,1
73.9961,118.23844926583736,-649.0503,4452.938340304766,120.31593344499828,405.71954942928136,-633.46,1943.17009533441,149.234,338.05402126898235,2.5,0.4,10000,1000,10,1
45.4362,81.4374774263054,-469.1304,4027.5563386999293,75.24371238008304,272.0940694616766,-455.9,1698.7076707824324,101.688,279.7630736779595,2.5,0.45,10000,1000,10,1
26.908,53.31652591833042,-293.8059,2525.4839094167405,44.59947187971695,174.3165635143194,-293.46,1215.3093952128443,56.426,169.58721209528338,2.5,0.5,10000,1000,10,1
