beta_conf,v_conf,N,i0,T,v,beta,beta_grad,beta_grad_se,v_grad,v_grad_se,total_size_mean,total_size_se,N_samples
10,10,1000,1,10,0.15,3.4000000000000004,159.07638659312627,9.65369124494144,-1162.68615,114.95823919841669,487.35995,2.9469552315155214,20000
10,10,1000,1,10,0.15,3.5,154.87758661118903,9.476045837982332,-1007.8911,85.07051715013522,500.11115,2.945518207151215,20000
10,10,1000,1,10,0.15,3.6,146.0187196789216,9.294275165024754,-977.2218,75.016773056712,512.4683,2.9403275236022264,20000
10,10,1000,1,10,0.15,3.7,144.73685826739637,9.069789694501855,-958.4406,73.0551833705826,524.34485,2.9324078744644284,20000
10,10,1000,1,10,0.15,3.8,138.7909917571941,8.875704797861932,-1356.4422,144.04630330840774,534.8852,2.9233419535622023,20000
10,10,1000,1,10,0.15,3.9,132.17272481303152,8.685394468133934,-985.66335,78.26848144288482,544.9532,2.9121201061535276,20000
10,10,1000,1,10,0.15,4.0,124.35613788170828,8.496125486207442,-1079.16975,105.0312425761145,554.50055,2.8983661563549368,20000
10,10,1000,1,10,0.2,2.0,188.21854579822352,9.145691900736994,-769.6296,69.12703630890474,166.4654,2.02339309728073,20000
10,10,1000,1,10,0.2,2.1,199.9807863419677,9.570233121315477,-697.95135,31.5368768318008,189.49265,2.152844239422545,20000
10,10,1000,1,10,0.2,2.2,204.13235595330508,9.815845241293939,-728.72055,40.159469925400145,212.4068,2.2681696046274333,20000
10,10,1000,1,10,0.2,2.3,210.4363441778895,10.067926220423917,-865.3338,79.9221534106731,235.2655,2.3712969484964126,20000
10,10,1000,1,10,0.2,2.4,214.90760479640016,10.205151286571228,-891.65745,64.81978783118778,257.88635,2.4609765423426877,20000
10,10,1000,1,10,0.2,2.5,216.02380615460268,10.325052378612446,-967.5315,81.73993651851883,278.84855,2.535090669952481,20000
10,10,1000,1,10,0.2,2.6,213.79269758380224,10.324815066123392,-859.18995,48.81510623539897,300.28285,2.5992426493906633,20000
10,10,1000,1,10,0.2,2.7,208.51863734987833,10.199828467157056,-1003.3956,78.08950174209814,319.591,2.651150787106384,20000
10,10,1000,1,10,0.2,2.8,205.6421948032705,10.088797025624103,-1012.1868,86.36896670396585,338.4034,2.6948278002992443,20000
10,10,1000,1,10,0.2,2.9,205.15924289640537,9.93724650447372,-967.2318,79.44145498184132,356.22775,2.7293529851198697,20000
10,10,1000,1,10,0.2,3.0,193.7038163683142,9.729362504204655,-992.8062,79.32590520563829,373.02895,2.7571241806059876,20000
10,10,1000,1,10,0.2,3.1,185.13878574638917,9.569229352959425,-1151.4474,104.24628479510118,389.32505,2.779039651155415,20000
10,10,1000,1,10,0.2,3.2,175.91075042570054,9.412764772243937,-1072.8261,97.23817008990893,403.5152,2.7951095560495505,20000
10,10,1000,1,10,0.2,3.3,166.62725171420524,9.22319962596348,-1115.4834,100.15012483050833,417.91055,2.8061540491324144,20000
10,10,1000,1,10,0.2,3.4000000000000004,162.58034291663355,9.059780877197404,-1155.09375,113.43198026099316,431.94865,2.8128551239543587,20000
10,10,1000,1,10,0.2,3.5,151.08495870117093,8.753177916727346,-1174.7241,126.30968318255434,444.08555,2.816871010478534,20000
10,10,1000,1,10,0.2,3.6,145.72585112865602,8.555578753248941,-995.2038,78.14076968102243,456.5343,2.816054343275128,20000
10,10,1000,1,10,0.2,3.7,139.45525022440083,8.33141336857017,-1030.7682,92.37578012288233,467.8124,2.813666345042898,20000
